column,n_unique,dominant_value,dominant_ratio,is_constant,is_near_constant
lip_compression_frequency,1,0.5,1.0,True,True
near_zero_au_activation_ratio,1,0.5,1.0,True,True
eye_contact_ratio,1,0.5,1.0,True,True
extended_silence_ratio,1,0.5,1.0,True,True
reaction_time_instability_index,1,0.5,1.0,True,True
au12_activation_frequency,2,0.0,0.9177675923429496,False,False
blink_cluster_density,2,0.5,0.8773254246427609,False,False
au4_duration_ratio,2,0.5,0.8573739552440011,False,False
downward_gaze_frequency,2,0.5,0.7120517659746562,False,False
response_latency_mean,2,0.5,0.6786195740091668,False,False
speech_onset_delay,2,0.5,0.6786195740091668,False,False
pause_duration_mean,2,0.5,0.6786195740091668,False,False
gesture_frequency,345,0.99512412,0.6023186842814775,False,False
au20_activation_rate,395,0.99559233,0.5737395524400107,False,False
nod_onset_latency,1212,1.0,0.5589107576166082,False,False
blink_rate,31,0.95669995,0.3788083041251011,False,False
blink_duration,86,0.66988476,0.23914801833378269,False,False
gaze_shift_frequency,177,1.0,0.10676732272849825,False,False
head_velocity_peak,163,0.38255423,0.0798058775950391,False,False
motion_energy_floor_score,123,0.93367886,0.0798058775950391,False,False
facial_emotional_range,378,0.93467982,0.06632515502830952,False,False
facial_transition_frequency,540,0.99827253,0.013211108115394984,False,False
au12_variance,3633,0.9999988,0.0029657589646805067,False,False
overall_au_variance,3633,0.9999988,0.0029657589646805067,False,False
au1_au2_peak_intensity,2701,0.27827942,0.0016176867080075492,False,False
head_motion_energy,3702,0.18697875,0.0005392289026691831,False,False
posture_rigidity_index,3708,0.93153264,0.0005392289026691831,False,False
micro_motion_energy,3702,0.46438101,0.0005392289026691831,False,False
timestamp,3709,1774200809.8068218,0.00026961445133459155,False,False
au12_mean_amplitude,3709,0.56859029,0.00026961445133459155,False,False
au15_mean_amplitude,3709,0.6721948,0.00026961445133459155,False,False
au4_mean_activation,3709,0.14628523,0.00026961445133459155,False,False
mean_head_velocity,3709,0.45223203,0.00026961445133459155,False,False
landmark_displacement_mean,3709,0.49301612,0.00026961445133459155,False,False
baseline_eye_openness,3709,0.08327566,0.00026961445133459155,False,False
