,count,mean,std,min,1%,5%,50%,95%,99%,max,missing_count,missing_ratio,zero_ratio,n_unique,iqr
au12_activation_frequency__max,180000.0,0.46620258862944625,0.29091709127973786,0.0,0.0,0.0,0.4958711988969576,0.9066065825458136,1.05,1.13333333,0,0.0,0.06408888888888889,6079,
au12_activation_frequency__mean,180000.0,0.24749643778672567,0.21893882587877636,0.0,0.0,0.0,0.20360239099026786,0.8440617942527012,1.0341449764366522,1.13333333,0,0.0,0.06609444444444444,141194,
au12_activation_frequency__min,180000.0,0.13493843796166347,0.24505463113062118,0.0,0.0,0.0,0.0,0.8,1.01666667,1.13333333,0,0.0,0.5729833333333333,5315,
au12_activation_frequency__range,180000.0,0.33126415066778275,0.30775243678407094,0.0,0.0,0.0,0.39473969053263036,0.8871313038733812,0.8922802439200133,0.8922802439200133,0,0.0,0.17901111111111112,9044,
au12_activation_frequency__slope,180000.0,0.00038325660407946907,0.010126063050023289,-0.0707568881228677,-0.0379670252165771,-0.014114719315326754,0.0,0.0175569083748751,0.03633301879498882,0.0924502729703539,0,0.0,0.11245555555555556,157717,
au12_activation_frequency__std,180000.0,0.07683704065446184,0.0698764899795447,0.0,0.0,0.0,0.0920269065967904,0.19630760353954035,0.20495181362278125,0.2322040532885076,0,0.0,0.11117777777777778,151220,
au12_mean_amplitude__max,180000.0,0.050330412658184734,0.016772649754395998,0.0154990722091717,0.0181705843190198,0.0218567417337215,0.05310559,0.07420422,0.08300221,0.08540358,0,0.0,0.0,17977,
au12_mean_amplitude__mean,180000.0,0.0377750442390508,0.01988786996568451,0.0068230411848015,0.00826852637325481,0.008752382958516809,0.0464852825119136,0.06376717679037762,0.07403635250530838,0.0803839973679658,0,0.0,0.0,178074,
au12_mean_amplitude__min,180000.0,0.02817307188492921,0.021451818029418958,0.0,0.0,0.0,0.0362058801185134,0.05500055,0.06852654,0.0776565881195264,0,0.0,0.33037777777777777,15957,
au12_mean_amplitude__range,180000.0,0.022157340773255495,0.012360139052235684,0.0,0.0,0.004392565999999995,0.0216852599999999,0.0472154745946397,0.0472154745946397,0.0556685675824929,0,0.0,0.018722222222222223,55789,
au12_mean_amplitude__slope,180000.0,-4.137294458151421e-05,0.0017158864647818489,-0.0468636227477597,-0.005334547548000029,-0.00232591572112006,-7.737356003817155e-07,0.0019989162266299343,0.005249667467345288,0.0262792754959633,0,0.0,0.0,177978,
au12_mean_amplitude__std,180000.0,0.00510611929478891,0.0028137462329834865,0.0001802443099187,0.000617207923032271,0.0010781354395724251,0.00511855597210655,0.009879614046475048,0.010509259665083832,0.0267358307720882,0,0.0,0.0,178089,
au12_variance__max,180000.0,0.013033082775355326,0.023810392748937686,1.553842507592741e-05,7.25e-05,0.000275857402955305,0.0030145674763193,0.0718380809770935,0.0718380809770935,0.0718380809770935,0,0.0,0.0,42894,
