feature_a,feature_b,correlation,abs_correlation
au20_activation_rate__max,au20_activation_rate__range,1.0,1.0
micro_motion_energy__max,micro_motion_energy__range,0.9999999952386819,0.9999999952386819
landmark_displacement_mean__max,landmark_displacement_mean__range,0.9997998873359689,0.9997998873359689
au12_variance__max,au12_variance__range,0.9995770254088012,0.9995770254088012
overall_au_variance__max,overall_au_variance__range,0.9986674779072623,0.9986674779072623
downward_gaze_frequency__mean,downward_gaze_frequency__max,0.9982584864176658,0.9982584864176658
blink_rate__mean,blink_rate__max,0.9978839698086471,0.9978839698086471
blink_rate__mean,blink_rate__min,0.9971574877349229,0.9971574877349229
lip_compression_frequency__std,lip_compression_frequency__range,0.9967864251128452,0.9967864251128452
au4_mean_activation__min,au4_mean_activation__range,-0.9963554682910101,0.9963554682910101
au12_variance__std,au12_variance__range,0.9958293856389278,0.9958293856389278
au12_variance__std,au12_variance__max,0.9953869328950035,0.9953869328950035
head_motion_energy__max,head_motion_energy__range,0.994706093875826,0.994706093875826
blink_rate__min,blink_rate__max,0.9942631389473883,0.9942631389473883
eye_contact_ratio__mean,eye_contact_ratio__min,0.9940566313262338,0.9940566313262338
au15_mean_amplitude__std,au15_mean_amplitude__range,0.994015420011051,0.994015420011051
au20_activation_rate__mean,au20_activation_rate__std,0.9922632417086932,0.9922632417086932
mean_head_velocity__std,mean_head_velocity__range,0.992051329061957,0.992051329061957
response_latency_mean__std,response_latency_mean__range,0.9916707512549642,0.9916707512549642
gesture_frequency__mean,gesture_frequency__max,0.9907538089188143,0.9907538089188143
eye_contact_ratio__mean,eye_contact_ratio__max,0.9888071311558986,0.9888071311558986
lip_compression_frequency__std,response_latency_mean__std,0.9880077929470301,0.9880077929470301
au15_mean_amplitude__max,au15_mean_amplitude__range,0.9875838431527003,0.9875838431527003
blink_cluster_density__std,blink_cluster_density__range,0.9872540581021363,0.9872540581021363
head_motion_energy__std,head_motion_energy__range,0.9862279939209777,0.9862279939209777
lip_compression_frequency__range,response_latency_mean__std,0.984805866804689,0.984805866804689
gaze_shift_frequency__mean,gaze_shift_frequency__max,0.9845318607731401,0.9845318607731401
motion_energy_floor_score__std,motion_energy_floor_score__range,0.9841520801620011,0.9841520801620011
response_latency_mean__min,pause_duration_mean__min,0.9841100355058399,0.9841100355058399
au15_mean_amplitude__range,response_latency_mean__std,0.9840411920523182,0.9840411920523182
au15_mean_amplitude__std,au15_mean_amplitude__max,0.9837692448775514,0.9837692448775514
au20_activation_rate__std,nod_onset_latency__std,0.9833189135314213,0.9833189135314213
speech_onset_delay__std,extended_silence_ratio__std,0.9826662286267493,0.9826662286267493
au15_mean_amplitude__range,response_latency_mean__range,0.9818404588523041,0.9818404588523041
head_motion_energy__std,head_motion_energy__max,0.981342800247169,0.981342800247169
nod_onset_latency__std,extended_silence_ratio__std,0.980739805558372,0.980739805558372
lip_compression_frequency__std,response_latency_mean__range,0.9803907958064066,0.9803907958064066
au15_mean_amplitude__std,response_latency_mean__std,0.980166706638752,0.980166706638752
au12_activation_frequency__std,au12_activation_frequency__range,0.9801377598367742,0.9801377598367742
au1_au2_peak_intensity__std,au1_au2_peak_intensity__range,0.9799841297028506,0.9799841297028506
response_latency_mean__slope,pause_duration_mean__slope,0.9798857863119803,0.9798857863119803
response_latency_mean__max,response_latency_mean__range,0.9798606007262849,0.9798606007262849
nod_onset_latency__std,nod_onset_latency__range,0.979139839639129,0.979139839639129
