column,below_min_count,above_max_count,observed_min,observed_max
au12_activation_frequency__max,0,6043,0.0,1.13333333
au12_activation_frequency__mean,0,5059,0.0,1.13333333
au12_activation_frequency__min,0,3093,0.0,1.13333333
au12_activation_frequency__slope,78531,0,-0.0707568881228677,0.0924502729703539
au12_mean_amplitude__slope,93684,0,-0.0468636227477597,0.0262792754959633
au12_variance__slope,95057,0,-0.0049114640422391,0.0061277627158511
au15_mean_amplitude__slope,93191,0,-0.0118948284651477,0.0068209541101797
au1_au2_peak_intensity__slope,90511,0,-0.0262067879289402,0.0133998468097692
au20_activation_rate__slope,45797,0,-1.618321756441062e-05,1.363929144089798e-05
au4_duration_ratio__slope,96327,0,-0.0881280658984696,0.0063978607348489
au4_mean_activation__min,195,0,-4.02518472,1.0
au4_mean_activation__range,0,195,0.0,5.010523050000001
au4_mean_activation__slope,74083,0,-0.7281011763435776,0.047393625844304
au4_mean_activation__std,0,2,0.0,1.0808258732562468
baseline_eye_openness__slope,84272,0,-0.2516550348398892,0.2454252409513269
blink_cluster_density__slope,83052,0,-0.0530701603262328,0.054467112942116
blink_duration__slope,98003,0,-0.0434820352692429,0.1708007018872154
blink_rate__max,0,90000,0.6478651468151555,38.0
blink_rate__mean,0,89938,0.4120938844233491,37.92530866366022
blink_rate__min,0,89210,0.0,37.0
blink_rate__range,0,58895,0.0,12.12727179587186
blink_rate__slope,75017,3274,-3.4408375390290376,3.266185800330293
blink_rate__std,0,19330,0.0,2.8343317410689264
downward_gaze_frequency__max,0,52565,0.01666667,2.6
downward_gaze_frequency__mean,0,51443,0.0129197577202316,2.56311770925687
downward_gaze_frequency__min,0,49357,0.0,2.532558176686021
downward_gaze_frequency__slope,78154,0,-0.1039000263685056,0.1238698929591679
extended_silence_ratio__slope,51280,0,-0.0323354141962152,0.4497912156912784
eye_contact_ratio__slope,93873,0,-0.0491958886428915,0.0474753770661983
facial_emotional_range__slope,87320,0,-0.0153643105775769,0.0221720391976501
facial_transition_frequency__slope,91645,0,-0.1233312822415608,0.109676032455154
gaze_shift_frequency__max,0,84588,0.1262730979401189,3.1
gaze_shift_frequency__mean,0,78610,0.0813512891984387,3.035365906744156
gaze_shift_frequency__min,0,67790,0.0,3.0
gaze_shift_frequency__range,0,1082,0.0,1.90051975048458
gaze_shift_frequency__slope,55708,0,-0.2879467927770013,0.3099158008231968
gesture_frequency__max,0,30000,0.1611302767427744,1.6951738617542504
gesture_frequency__mean,0,30000,0.1404787160482998,1.5632195414347505
gesture_frequency__min,0,30000,0.0529647603826145,1.3479256649198537
gesture_frequency__slope,87712,0,-0.0792208191589887,0.112504147024804
head_motion_energy__max,0,166245,0.00817456,189.8508290555183
head_motion_energy__mean,0,128382,0.0080614368671241,40.30630449674727
head_motion_energy__min,0,44271,0.0,18.953132381189214
head_motion_energy__range,0,146604,0.0,182.85600416074857
head_motion_energy__slope,88825,7466,-27.83418742198051,7.862196551586798
head_motion_energy__std,0,98031,3.887407184728124e-05,35.335229205442495
head_velocity_peak__max,0,162974,0.08198414,14.115072298326378
head_velocity_peak__mean,0,155060,0.0819841399999999,10.514477640000004
head_velocity_peak__min,0,43196,0.0,10.51447764
head_velocity_peak__range,0,133106,0.0,14.115072298326378
head_velocity_peak__slope,82813,3589,-8.701660761605417,9.567471327928969
head_velocity_peak__std,0,106724,0.0,5.148040182247788
landmark_displacement_mean__slope,83581,0,-0.0331959044770444,0.0451989821178099
lip_compression_frequency__max,0,4167,0.0,1.33333333
lip_compression_frequency__mean,0,3790,0.0,1.33333333
lip_compression_frequency__min,0,2403,0.0,1.33333333
lip_compression_frequency__slope,69386,0,-0.1086364678090039,0.1128561934125162
mean_head_velocity__slope,89865,0,-0.0349086100869891,0.0400141850295881
micro_motion_energy__max,0,143658,0.0039324470529972,645.603596
micro_motion_energy__mean,0,126665,0.0014862367079061,71.5107019800268
micro_motion_energy__range,0,143551,0.0,645.60350942
micro_motion_energy__slope,89624,14708,-148.85027005183142,229.04597931554585
micro_motion_energy__std,0,129251,0.0007877000681846,201.246384566971
motion_energy_floor_score__slope,84720,0,-0.072186684937329,0.1091597080674631
near_zero_au_activation_ratio__slope,84104,0,-0.0244937286981629,0.0772278476881379
nod_onset_latency__max,0,161127,0.0,6.127587995925917
nod_onset_latency__mean,0,159150,0.0,2.7087146952869823
nod_onset_latency__min,0,68345,0.0,2.66235611
nod_onset_latency__range,0,92318,0.0,6.127587995925917
nod_onset_latency__slope,68731,0,-0.2688852350987825,0.609659189969664
nod_onset_latency__std,0,61624,0.0,1.3805985560031566
overall_au_variance__max,0,203,0.0005179210124593,24.743837435319968
overall_au_variance__mean,0,169,0.0004894028518949,8.85656333407535
overall_au_variance__min,0,8,0.0,7.891402943115404
overall_au_variance__range,0,195,0.0,24.743128745014264
overall_au_variance__slope,87319,157,-0.0084379875441374,5.581415836094965
overall_au_variance__std,0,165,6.460897701848633e-06,10.695524124334533
patient_id,0,179999,1.0,180000.0
pause_duration_mean__max,0,58034,0.0,172.39587867
