column,outlier_count,outlier_ratio,median,mad
pause_duration_mean__max,89998,0.49998888888888887,1.0,0.0018007055762326862
au20_activation_rate__slope,89993,0.49996111111111113,0.0,1.152778997031987e-11
pause_duration_mean__range,89989,0.4999388888888889,1.0,0.00014302999999998844
gaze_shift_frequency__slope,88641,0.49245,0.0,0.00027088592602575
micro_motion_energy__min,87936,0.4885333333333333,4.329e-05,4.329e-05
au12_variance__min,87723,0.48735,4.99848314548887e-06,4.99848314548887e-06
gaze_shift_frequency__mean,87391,0.4855055555555556,1.0,0.007639278461888777
blink_rate__max,87229,0.48460555555555557,1.5,0.8482783192144875
blink_rate__mean,86439,0.4802166666666667,1.3351678985506208,0.7540524238181958
head_motion_energy__min,84468,0.46926666666666667,0.0036438549237893,0.0036438549237893
au4_mean_activation__max,84193,0.46773888888888887,0.9996910999999999,0.00030890000000005635
reaction_time_instability_index__range,83306,0.4628111111111111,0.0026524575689526,0.0026524575689526
blink_rate__min,83173,0.4620722222222222,1.0,1.0
baseline_eye_openness__slope,79102,0.43945555555555554,1.4148260094668121e-05,0.0006834522057132
overall_au_variance__min,78612,0.4367333333333333,0.000238075,0.000238075
blink_rate__slope,78523,0.4362388888888889,0.0,0.00021938513305125
reaction_time_instability_index__std,78239,0.4346611111111111,0.00063261390016285,0.00063261390016285
landmark_displacement_mean__min,78124,0.4340222222222222,5.392e-05,5.392e-05
reaction_time_instability_index__slope,78116,0.4339777777777778,0.0,1.002449328589396e-06
blink_cluster_density__min,76598,0.42554444444444445,0.0092540321322251,0.0092540321322251
facial_transition_frequency__slope,72885,0.40491666666666665,-8.703149951655301e-24,0.0005111510014271
au12_mean_amplitude__slope,71921,0.3995611111111111,-7.737356003817155e-07,4.839245367151794e-05
downward_gaze_frequency__mean,70670,0.39261111111111113,0.9596699938034693,0.057083408219973486
motion_energy_floor_score__max,68686,0.38158888888888887,0.99333333,0.006666669999999986
near_zero_au_activation_ratio__slope,67822,0.3767888888888889,2.9863839499782936e-24,7.947984230297303e-05
downward_gaze_frequency__slope,67793,0.3766277777777778,2.0287933720431876e-05,0.00048810032114585003
eye_contact_ratio__slope,67020,0.37233333333333335,-9.091859975797852e-06,0.00038595665812355214
facial_emotional_range__slope,66128,0.3673777777777778,0.0,1.039136597362993e-05
motion_energy_floor_score__slope,64323,0.35735,1.2669051846529323e-05,0.0006609834587824499
landmark_displacement_mean__slope,63161,0.35089444444444445,2.0209687797650776e-06,4.1007107016292525e-05
au1_au2_peak_intensity__slope,61933,0.3440722222222222,-1.6628726381030823e-07,5.115329065487866e-05
eye_contact_ratio__mean,60000,0.3333333333333333,0.8199606836125644,0.05049728727705799
posture_rigidity_index__max,60000,0.3333333333333333,1.0001149323476313,0.058025268798139074
posture_rigidity_index__mean,60000,0.3333333333333333,0.9830387556766793,0.05888253352087408
eye_contact_ratio__max,60000,0.3333333333333333,0.8499691348123497,0.07364829726074584
blink_cluster_density__slope,59628,0.33126666666666665,0.0,0.00011594112611049999
