group_feature,lower,upper,rows_clipped,low_q,high_q
anxiety:au12_mean_amplitude__mean,0.040429328304680205,0.05799867393806081,300,0.005,0.995
anxiety:au12_mean_amplitude__std,0.0005325893881915055,0.008994582409858882,300,0.005,0.995
anxiety:au12_mean_amplitude__min,0.03438712,0.05399075916356349,150,0.005,0.995
anxiety:au12_mean_amplitude__max,0.04372442000214438,0.07057642,150,0.005,0.995
anxiety:au12_mean_amplitude__range,0.0,0.027693804350000028,150,0.005,0.995
anxiety:au12_mean_amplitude__slope,-0.005617853420943659,0.0053456859743723035,600,0.01,0.99
anxiety:au12_variance__mean,0.00018576929644449402,0.0021758957844578526,300,0.005,0.995
anxiety:au12_variance__std,4.8142918822621675e-06,0.0005340178148348508,300,0.005,0.995
anxiety:au12_variance__min,0.00015481,0.00194316,125,0.005,0.995
anxiety:au12_variance__max,0.00021045,0.00240603,105,0.005,0.995
anxiety:au12_variance__range,0.0,0.001336082878871307,150,0.005,0.995
anxiety:au12_variance__slope,-0.000279758957554221,0.0002900183324986845,600,0.01,0.99
anxiety:au12_activation_frequency__mean,0.0,0.43333333,82,0.005,0.995
anxiety:au12_activation_frequency__std,0.0,0.0756865505106387,150,0.005,0.995
anxiety:au12_activation_frequency__min,0.0,0.4322159830579659,150,0.005,0.995
anxiety:au12_activation_frequency__max,0.0,0.45,141,0.005,0.995
anxiety:au12_activation_frequency__range,0.0,0.16666666,143,0.005,0.995
anxiety:au12_activation_frequency__slope,-0.028817479499318423,0.036831049269255726,600,0.01,0.99
anxiety:au15_mean_amplitude__mean,0.009658553296416296,0.0173648525562137,300,0.005,0.995
anxiety:au15_mean_amplitude__std,0.0002333040156536395,0.0036086558312718106,300,0.005,0.995
anxiety:au15_mean_amplitude__min,0.00552322,0.013664096531416165,150,0.005,0.995
anxiety:au15_mean_amplitude__max,0.01137444,0.02592176,138,0.005,0.995
anxiety:au15_mean_amplitude__range,0.0007678175814105135,0.01539483833705723,300,0.005,0.995
anxiety:au15_mean_amplitude__slope,-0.002670762331226325,0.002349011315794219,600,0.01,0.99
anxiety:au4_mean_activation__mean,0.7498625440510851,0.9903267514754751,300,0.005,0.995
anxiety:au4_mean_activation__std,0.003243986076274137,0.39013144393370125,300,0.005,0.995
anxiety:au4_mean_activation__min,-1.43456948,0.9793838444486188,150,0.005,0.995
anxiety:au4_mean_activation__max,0.9497785276034323,0.9993822,150,0.005,0.995
anxiety:au4_mean_activation__range,0.014671066292393687,2.378524449191877,300,0.005,0.995
anxiety:au4_mean_activation__slope,-0.029620285426611374,0.026699565800644087,600,0.01,0.99
anxiety:au4_duration_ratio__mean,0.9306431794138534,0.9819914401874585,300,0.005,0.995
anxiety:au4_duration_ratio__std,0.0001662324224494355,0.010916804335234027,300,0.005,0.995
anxiety:au4_duration_ratio__min,0.861676890148365,0.9800611733687397,300,0.005,0.995
anxiety:au4_duration_ratio__max,0.9525527819097832,0.98419285,150,0.005,0.995
anxiety:au4_duration_ratio__range,0.0,0.09548873957440242,150,0.005,0.995
anxiety:au4_duration_ratio__slope,-0.004439199220489794,0.0037179479712938592,600,0.01,0.99
anxiety:au1_au2_peak_intensity__mean,0.027786562534656722,0.03868228742067074,300,0.005,0.995
anxiety:au1_au2_peak_intensity__std,0.000301593012670303,0.0056091417596722485,300,0.005,0.995
anxiety:au1_au2_peak_intensity__min,0.02417431,0.03522659231469066,150,0.005,0.995
anxiety:au1_au2_peak_intensity__max,0.03005464,0.04947479,141,0.005,0.995
anxiety:au1_au2_peak_intensity__range,0.0,0.018725254779444644,150,0.005,0.995
anxiety:au1_au2_peak_intensity__slope,-0.003910521379684858,0.0038764284348313106,600,0.01,0.99
anxiety:lip_compression_frequency__mean,0.0,0.18333333,146,0.005,0.995
anxiety:lip_compression_frequency__std,0.0,0.052950936313300626,150,0.005,0.995
anxiety:lip_compression_frequency__min,0.0,0.18333333,0,0.005,0.995
anxiety:lip_compression_frequency__max,0.0,0.21666667,0,0.005,0.995
anxiety:lip_compression_frequency__range,0.0,0.08333333,93,0.005,0.995
anxiety:lip_compression_frequency__slope,-0.017638334898479296,0.016306957986312782,600,0.01,0.99
anxiety:overall_au_variance__mean,0.002471622461227079,0.17825751211006377,300,0.005,0.995
anxiety:overall_au_variance__std,4.64408820911781e-05,0.3681290238811906,300,0.005,0.995
anxiety:overall_au_variance__min,0.00197011,0.019361640672428123,196,0.005,0.995
anxiety:overall_au_variance__max,0.00293666,5.523554572564033,298,0.005,0.995
anxiety:overall_au_variance__range,0.0,4.693778706851582,150,0.005,0.995
anxiety:overall_au_variance__slope,-0.002315565746028631,0.004122904676439972,600,0.01,0.99
anxiety:facial_emotional_range__mean,0.006732581111437555,0.023025514212129727,300,0.005,0.995
anxiety:facial_emotional_range__std,0.0,0.005009502086624579,150,0.005,0.995
anxiety:facial_emotional_range__min,0.00642133,0.02267338,63,0.005,0.995
anxiety:facial_emotional_range__max,0.006746341050898138,0.02539938,150,0.005,0.995
anxiety:facial_emotional_range__range,0.0,0.009704936700000007,150,0.005,0.995
anxiety:facial_emotional_range__slope,-0.00276179986542913,0.0025759157276593267,600,0.01,0.99
anxiety:facial_transition_frequency__mean,0.0,0.7012898449522229,150,0.005,0.995
anxiety:facial_transition_frequency__std,0.0,0.11974180094445083,150,0.005,0.995
anxiety:facial_transition_frequency__min,0.0,0.6,83,0.005,0.995
anxiety:facial_transition_frequency__max,0.0,0.8,0,0.005,0.995
anxiety:facial_transition_frequency__range,0.0,0.3999999999999999,46,0.005,0.995
anxiety:facial_transition_frequency__slope,-0.0755408536340875,0.07586125938469768,600,0.01,0.99
anxiety:near_zero_au_activation_ratio__mean,0.8715508929457391,0.9994647511385171,300,0.005,0.995
anxiety:near_zero_au_activation_ratio__std,0.0,0.03145821703305001,150,0.005,0.995
anxiety:near_zero_au_activation_ratio__min,0.86287625,0.99665552,245,0.005,0.995
anxiety:near_zero_au_activation_ratio__max,0.88963211,1.0,146,0.005,0.995
anxiety:near_zero_au_activation_ratio__range,0.0,0.08361204,139,0.005,0.995
anxiety:near_zero_au_activation_ratio__slope,-0.010107163182211986,0.016297432582289124,600,0.01,0.99
anxiety:mean_head_velocity__mean,0.04316695400607398,0.27892911595158865,300,0.005,0.995
anxiety:mean_head_velocity__std,0.0006929359719415795,0.03200734481698371,300,0.005,0.995
anxiety:mean_head_velocity__min,0.03625854,0.25464628,149,0.005,0.995
anxiety:mean_head_velocity__max,0.04701370414801204,0.29551343,150,0.005,0.995
anxiety:mean_head_velocity__range,0.0,0.0883255799999999,149,0.005,0.995
anxiety:mean_head_velocity__slope,-0.018676833341145154,0.016525452999916618,600,0.01,0.99
anxiety:head_velocity_peak__mean,0.2492557299999999,6.50932958,111,0.005,0.995
anxiety:head_velocity_peak__std,0.0,2.546234955842463,150,0.005,0.995
anxiety:head_velocity_peak__min,0.17823865,6.50932958,0,0.005,0.995
anxiety:head_velocity_peak__max,0.28858204,6.50932958,141,0.005,0.995
anxiety:head_velocity_peak__range,0.0,5.2372861,148,0.005,0.995
anxiety:head_velocity_peak__slope,-1.652184238815412,1.5169028688720463,600,0.01,0.99
