feature,importance
nod_onset_latency__mean,0.22061027586460114
reaction_time_instability_index__range,0.1624189168214798
speech_onset_delay__min,0.12441693991422653
pause_duration_mean__range,0.08087603002786636
baseline_eye_openness__max,0.06020575016736984
reaction_time_instability_index__slope,0.043717700988054276
extended_silence_ratio__max,0.03513908013701439
au4_mean_activation__slope,0.034114591777324677
au4_duration_ratio__std,0.03048410825431347
nod_onset_latency__min,0.0259168092161417
facial_transition_frequency__mean,0.02477245405316353
response_latency_mean__min,0.02465425431728363
gaze_shift_frequency__range,0.022660473361611366
extended_silence_ratio__slope,0.02166849933564663
blink_cluster_density__mean,0.01696503534913063
au12_variance__min,0.014895327389240265
speech_onset_delay__mean,0.0101765226572752
speech_onset_delay__max,0.007625298574566841
head_motion_energy__min,0.004419113975018263
au4_duration_ratio__mean,0.004322840832173824
head_velocity_peak__min,0.004276933614164591
extended_silence_ratio__mean,0.003902676748111844
blink_rate__range,0.003432597266510129
landmark_displacement_mean__max,0.002366701140999794
au12_activation_frequency__mean,0.0020730935502797365
response_latency_mean__slope,0.002047016052529216
micro_motion_energy__max,0.0017617684789001942
landmark_displacement_mean__std,0.0016716641839593649
speech_onset_delay__slope,0.0013039630139246583
lip_compression_frequency__slope,0.0010820956667885184
au20_activation_rate__slope,0.001074328669346869
nod_onset_latency__slope,0.0008090832852758467
overall_au_variance__slope,0.0007129606674425304
baseline_eye_openness__std,0.0005870499880984426
micro_motion_energy__std,0.0005703523056581616
motion_energy_floor_score__slope,0.0002277426392538473
au12_variance__slope,0.00019883058848790824
pause_duration_mean__slope,0.00018827486201189458
head_motion_energy__slope,0.00017616900731809437
extended_silence_ratio__min,0.00017186936747748405
au4_duration_ratio__slope,0.00016407869406975806
micro_motion_energy__slope,0.00013391251559369266
au12_mean_amplitude__slope,0.00013197273074183613
au12_activation_frequency__slope,0.00010334712715120986
posture_rigidity_index__slope,9.891998342936859e-05
gesture_frequency__slope,6.0462512919912115e-05
blink_cluster_density__slope,5.5909571528900415e-05
facial_transition_frequency__slope,5.5097723816288635e-05
facial_transition_frequency__min,5.23120652360376e-05
blink_rate__slope,5.216323916101828e-05
landmark_displacement_mean__slope,5.188625800656155e-05
mean_head_velocity__slope,4.946674744132906e-05
near_zero_au_activation_ratio__slope,4.671545320888981e-05
downward_gaze_frequency__slope,4.282701411284506e-05
facial_emotional_range__slope,3.0296092518256046e-05
blink_duration__slope,2.720074735407252e-05
eye_contact_ratio__slope,2.705047336348798e-05
head_velocity_peak__slope,2.6613335649017245e-05
au1_au2_peak_intensity__slope,2.2482148779090494e-05
au15_mean_amplitude__slope,2.2417281797970645e-05
gaze_shift_frequency__slope,2.17791493923869e-05
blink_rate__std,1.524361960036913e-05
baseline_eye_openness__slope,1.2615757441380993e-05
